property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payment,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירת גן,הדר יוסף,קהילת ורשה 3,3.5,0,100,200,0.0,12,500,500,3,"  דירה גן של  3.5  חדרים,כ - 100 מטר,עם יציאה לגינה של 200 מטר. משופצת מקסימה איוכתית ויפה.  סלון עם מטבח פתוח,פלוס פינת אוכל. מקלחת ושורתים בנפרד. חדר כביסה. מחסן. דוד שמש. כניסה מידית. ",0,0,0,1,0,1,0,1,0,1,8000.0,13,9675.0
דירה,אזורי חן,אורי צבי גרינברג 9,4.0,7,113,,,12,1800,870,11,,1,0,1,1,1,1,0,1,1,0,12000.0,0,7852.0
דירה,אזורי חן,אורי צבי גרינברג 5,3.0,6,110,,0.0,12,1100,1200,9,"  שכונה: אזור חן כ - 110 מטר 3 חדרים עם סלון מרווח נוף פתוח לכל השכונה יציאה למרפסת שמש של 13 מטר,רואים פתוח. סלון עם פינת אוכל חדרי שינה עם מזגנים שתי חדרי שירותים יח' הורים בניין עם שומר 24\7,חניה תת ק""ק,מעליות. כניסה מידית.   ",1,0,1,1,0,0,1,1,0,1,10000.0,6,7852.0
דירה,אזורי חן,אורי צבי גרינברג 4,3.0,7,110,,0.0,12,890,1250,9,"    כ - 110 מטר 3 חדרים עם סלון מרווח נוף פתוח לכל השכונה יציאה למרפסת שמש של 13 מטר,רואים פתוח. סלון עם פינת אוכל חדרי שינה עם מזגנים שתי חדרי שירותים יח' הורים בניין עם שומר 24\7,חניה תת ק""ק,מעליות. כניסה מידית. ",1,0,1,1,0,0,0,1,0,1,10000.0,6,7852.0
דירה,אזורי חן,אורי צבי גרינברג 3,3.0,7,110,,0.0,12,900,1250,10," כ - 110 מטר 3 חדרים עם סלון מרווח נוף פתוח לכל השכונה יציאה למרפסת שמש של 13 מטר,רואים פתוח. סלון עם פינת אוכל חדרי שינה עם מזגנים שתי חדרי שירותים יח' הורים בניין עם שומר 24\7,חניה תת ק""ק,מעליות. כניסה מידית. ",1,0,1,1,0,0,0,1,0,1,10000.0,3,7852.0
דירה,אזורי חן,אביגור שאול 8,3.0,9,100,,0.0,12,1000,980,11," שכונה: אזור חן  כ - 110 מטר  3  חדרים עם סלון מרווח נוף פתוח לכל השכונה יציאה למרפסת שמש של 12 מטר,רואים ים  סלון עם פינת אוכל חדרי שינה עם מזגנים שתי חדרי שירותים  יח' הורים בניין עם שומר 24\7,חניה תת ק""ק,מעליות. כניסה: 1.8.2022",1,0,1,1,0,0,0,1,0,1,10000.0,4,7643.0
דירה,הדר יוסף,שלום אש  7,4.5,3,120,,0.0,12,1100,400,5,"רחוב: שלום אש שכונה: הדר יוסף דירה של 4.5 חדרים,כ - 120 מטר מסודרת מוארת מקסימה ואיוכתית. שמורה ויפה עם אנרגיות חיוביות דוד שמש חניה ומעלית ושירותים כפולים נוף ירוק. חצי החדר הוא חדר ילדים מתאימה גם לשותפים כניסה: 1.7.2022",1,0,1,1,0,0,0,1,0,1,8500.0,5,8786.0
דירה,אזורי חן,אורי צבי  9,3.0,9,110,,0.0,12,1000,980,12,"  שכונה: אזור חן  כ - 110 מטר  3  חדרים עם סלון מרווח נוף פתוח לכל השכונה יציאה למרפסת שמש של 12 מטר,רואים ים  סלון עם פינת אוכל חדרי שינה עם מזגנים שתי חדרי שירותים  יח' הורים בניין עם שומר 24\7,חניה תת ק""ק,מעליות. כניסה: 1.8.2022",1,0,1,1,0,0,1,1,0,1,10500.0,5,5556.0
דירה,אזורי חן,אביגור שאול 3,3.0,8,110,,,12,1100,980,10,"רחוב: אורי צבי גרינברג  שכונה: אזור חן  כ - 110 מטר  3  חדרים עם סלון מרווח נוף פתוח לכל השכונה יציאה למרפסת שמש של 12 מטר,רואים ים  סלון עם פינת אוכל חדרי שינה עם מזגנים שתי חדרי שירותים  יח' הורים בניין עם שומר 24\7,חניה תת ק""ק,מעליות. כניסה: 1.8.2022",1,0,1,1,0,0,0,1,0,1,10500.0,5,7532.0
דירה,אזורי חן,אורי צבי גרינברג 11,3.0,9,110,12,0.0,12,1200,930,11," רחוב: אורי צבי גרינברג  שכונה: אזור חן  כ - 110 מטר  3  חדרים עם סלון מרווח נוף פתוח לכל השכונה יציאה למרפסת שמש של 12 מטר,רואים ים  סלון עם פינת אוכל חדרי שינה עם מזגנים שתי חדרי שירותים  יח' הורים בניין עם שומר 24\7,חניה תת ק""ק,מעליות. כניסה: 1.8.2022 ",1,0,1,1,0,0,0,1,0,1,11000.0,7,7852.0
דירה,לבנה,דרך לוד 176,4.0,5,111,,0.0,12,400,250,9,בית נקי ושמור מזגנים חדשים,1,1,1,1,1,1,1,1,0,1,1.0,0,8832.0
דירה,לבנה,דרך לוד 178,4.0,5,111,,0.0,12,400,250,9,בית שמור ונקי עם מזגנים חדשים,0,0,0,0,0,0,0,1,0,0,1.0,0,8832.0
